CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
11001002802,District of Columbia,District of Columbia,4750,2391,2359,47.1,24.6,20.3,0,6,0,2681,49338,8412,31109,3010,19.6,35.4,47.3,29.9,9.6,9.7,3.6,15.8,5.8,61.9,8.5,6.4,1.7,31.5,2948,80.1,16.6,3.3,0,5.9
11001002900,District of Columbia,District of Columbia,4567,2335,2232,26.5,40.6,25.8,0,4.1,0,3116,92900,16205,44561,4080,7.5,13.2,61.1,20.4,11.9,2.4,4.3,21.6,3.8,55.2,6.6,7.1,5.7,32.8,3184,73.6,24.1,2.3,0,5.3
11001003000,District of Columbia,District of Columbia,3534,1593,1941,9,40.2,46,0,3.4,0,2575,70238,21049,39046,5993,26.2,50.4,73.9,10.3,14.1,0.3,1.4,21.4,3.2,51.6,9.4,7.2,7.2,32.5,2018,70.1,25.2,3.8,0.8,6.4
11001003100,District of Columbia,District of Columbia,3350,1613,1737,43,25.9,24.8,0.4,4.3,0,2177,81356,13121,37455,7245,10.6,22.4,44.7,19.9,22,8.5,5,20.6,12.4,48.4,4.7,12.9,1,34.1,2035,76.7,19.6,3.7,0,6
11001003200,District of Columbia,District of Columbia,4997,2278,2719,28.1,17.4,50.4,0,3.7,0,3577,80848,18394,34817,5076,16.3,20.6,48,24.9,19.6,3.9,3.7,22.4,11.6,50.4,4.2,5.4,5.9,30.4,2787,70.3,23.1,6.6,0,7.6
11001003301,District of Columbia,District of Columbia,3619,1930,1689,8.6,46.8,37.5,0,4.1,0,3098,105132,22739,61529,6274,7.6,0,68.9,10.4,18.1,0.5,2.1,35.4,3.2,30,6.3,20.9,4.2,28.3,2718,72.7,24.2,3.1,0,4.3
11001003302,District of Columbia,District of Columbia,2338,1056,1282,5.7,39.1,46,0.2,5,0,1916,112500,26904,53102,5738,12.1,11.7,73.4,9.3,16.2,0,1.1,36.9,4.9,33.1,13.6,6.2,5.3,29.2,1480,70.4,26.8,2.8,0,9.2
11001003400,District of Columbia,District of Columbia,4716,1937,2779,9.4,26.3,60.4,0,1.1,0,4162,80500,21951,26110,4579,18.8,21.4,50,18.4,29.1,1.5,1,25.9,2.4,41.2,10.2,11.9,8.4,27.5,2064,73.4,20.9,5.7,0,10
11001003500,District of Columbia,District of Columbia,5603,2496,3107,7.2,14.7,71.8,0,4.7,0,4696,69190,19123,21255,2762,21,40,50.1,21.1,25.3,0.9,2.6,19.5,4.2,45.4,17.7,8.3,4.8,31.6,2688,79.8,18.1,1.8,0.3,10.7
11001003600,District of Columbia,District of Columbia,5036,2761,2275,11.8,46.5,34.5,0,4.9,0,4107,91250,13362,51870,8195,10.4,0,71.2,9.9,10.3,4.6,4.1,22.8,7.8,45.8,7.8,10.9,4.9,28.9,3622,76.2,22,1.8,0,8.4
11001003700,District of Columbia,District of Columbia,5860,2916,2944,25,34,34.3,0.3,5.1,0,4075,73232,23725,40260,5849,17.3,34,58.4,20.6,16.4,3.1,1.5,20.1,2.7,45.8,20,6.9,4.6,28.7,3613,80.2,17.7,2.1,0,8
11001003800,District of Columbia,District of Columbia,4969,2642,2327,18,57.1,14.6,0,5.2,1,3944,92885,9768,62218,7068,11.1,16.4,74.9,8.3,15,0.4,1.5,20.7,5.5,44.9,15.9,5.9,7.1,28.3,3432,69.3,28,2.7,0,6.1
11001003900,District of Columbia,District of Columbia,4492,2118,2374,8.1,72.8,10.9,0.4,6.9,0,3794,89662,6982,63716,5801,9.8,0,74.9,13.4,9.1,1.5,1,17.1,3.5,56.1,9.1,9.5,4.6,31.1,3361,66.5,30.1,2.8,0.6,9
11001004001,District of Columbia,District of Columbia,4120,2282,1838,11.4,79.2,3.1,0,4.5,1.5,3535,104775,23158,83083,8031,4.4,0,78.7,5.3,13.4,2.1,0.5,23,8.4,44,14.5,3.9,6.2,28.5,3029,72,21.8,5.4,0.8,3.6
11001004002,District of Columbia,District of Columbia,2998,1567,1431,8.2,79.7,5.2,0.3,4.9,0,2435,90886,6565,71065,7219,3.8,0,81.4,5.6,10.2,2,0.8,15.1,4.2,38.1,23.4,11,8.1,29,2379,69.3,27.3,3.4,0,2.1
11001004100,District of Columbia,District of Columbia,2759,1380,1379,11.9,75.1,4.2,0,6.3,0,2056,123456,16979,102304,15484,5.7,1.8,84.2,6.4,6.4,1.6,1.4,19.9,4.4,30.4,26.8,3.1,15.4,24.4,1822,65,27.7,7.3,0,2.7
11001004201,District of Columbia,District of Columbia,3625,1924,1701,5.1,78,6.5,0.5,4.4,0,3030,96650,12501,79766,11508,4.9,0,86.1,1.9,10.6,0.4,1,16,4.3,38.3,27.7,7.6,6,25.6,3047,69.3,25,5.7,0,4
11001004202,District of Columbia,District of Columbia,2635,1321,1314,8.1,76.6,2.8,0.3,9.3,0,2268,102308,15523,90910,14149,7.4,0,85.6,5.8,8.5,0,0,16.9,1,41.7,28.5,8.1,3.9,27.6,2141,69.7,24.1,6.2,0,3.2
